PHASID	Chr_ID	Start_Pos	End_Pos	Locus_Len	Lib_Num	Pvalue	Phas_Hit	Phase	Average_HitPos	Phas_Ratio	Abudance	Max_Region_Phase_Score	Note	Best_Region
PHAS21-19	Chr10	99320354	99321720	1367	59	3.03E-10	29	3	7.26	0.92	156.2	14.95	Potential PHAS	Chr10:99320378-99321720
PHAS21-20	Chr10	99417916	99419303	1388	47	1.30E-09	25	20	6.98	0.88	73.98	15.47	Potential PHAS	Chr10:99418000-99418777
PHAS21-21	Chr10	118060845	118061859	1015	20	2.48E-10	13	11	11.54	0.92	55.63	19.24	Potential Repeat	Chr10:118061000-118061612
PHAS21-22	Chr10	118871116	118871741	626	19	1.28E-10	15	20	11.14	0.89	71.49	12.37	Potential Repeat	Chr10:118871176-118871627
PHAS21-23	Chr10	119162361	119162982	622	16	1.28E-10	15	9	11	0.85	71.49	12.37	Potential Repeat	Chr10:119162417-119162868
PHAS21-24	Chr10	156710423	156711318	896	4	0	25	15	1.31	0.81	135.56	31.78	Confident PHAS	Chr10:156710423-156711318
PHAS21-25	Chr10	157405573	157406873	1301	75	1.89E-15	44	12	1.98	0.95	5401.1	21.5	Confident PHAS	Chr10:157406343-157406772
PHAS21-26	Chr10	157465238	157466559	1322	72	0	37	16	2.01	0.99	5316.94	21.97	Confident PHAS	Chr10:157465321-157465839
PHAS21-27	Chr10	161512368	161513285	918	16	1.54E-06	15	19	2.34	0.61	311.44	13.18	Potential PHAS	Chr10:161512965-161513278
PHAS21-28	Chr11	95969118	95969983	866	32	2.39E-14	19	19	1	0.9	174.74	26.01	Confident PHAS	Chr11:95969512-95969979
PHAS21-29	Chr11	107216187	107217116	930	17	1.91E-05	8	12	4.76	0.87	80.79	10.65	Potential PHAS	Chr11:107216480-107216757
PHAS21-30	Chr11	107231551	107231902	352	22	1.59E-07	12	13	2.65	0.71	126.06	14.34	Potential PHAS	Chr11:107231680-107231902
PHAS21-31	Chr11	107237109	107237599	491	27	0	15	6	3.18	0.7	1657.6	10.9	Confident PHAS	Chr11:107237212-107237314
PHAS21-32	Chr11	107238213	107238670	458	4	0.000346654	10	20	3.51	0.72	569.75	11.2	Potential PHAS	Chr11:107238540-107238670
PHAS21-33	Chr11	107238787	107238955	169	9	0	13	13	4.27	0.52	1076.38	10.8	Confident PHAS	Chr11:107238788-107238948
PHAS21-34	Chr11	107256448	107257563	1116	51	3.98E-09	19	16	4.68	0.93	1740.68	16.73	Potential PHAS	Chr11:107256590-107257433
PHAS21-35	Chr11	107281870	107282159	290	24	3.11E-15	17	2	3.25	0.56	2158.25	12.55	Confident PHAS	Chr11:107281984-107282159
PHAS21-36	Chr12	21515395	21516853	1459	33	0	41	4	1.05	0.93	717.12	35.67	Confident PHAS	Chr12:21515692-21516814
PHAS21-37	Chr12	34418531	34419121	591	16	1.24E-10	15	17	9.21	0.84	9.68	14.52	Potential PHAS	Chr12:34418531-34418849
PHAS21-38	Chr12	47504778	47505313	536	37	6.00E-09	18	16	6.84	0.97	249.55	19.93	Potential PHAS	Chr12:47504778-47505273
PHAS21-39	Chr12	47511454	47512628	1175	30	3.30E-07	16	18	7.54	0.96	95.09	11.05	Potential PHAS	Chr12:47511517-47512206
PHAS21-40	Chr12	86129172	86129344	173	6	6.97E-05	15	7	1.14	0.8	12195	17.45	Potential PHAS	Chr12:86129172-86129334
PHAS21-41	Chr12	86141979	86142450	472	9	0.000207291	19	6	3.33	0.54	1603.08	13.81	Potential PHAS	Chr12:86141979-86142450
PHAS21-42	Chr12	86190029	86190421	393	4	3.55E-15	13	3	1.7	0.45	8408.38	10.67	Confident PHAS	Chr12:86190037-86190191
PHAS21-43	Chr12	86227420	86228265	846	38	4.22E-07	22	17	9.68	0.8	344.86	11.77	Potential PHAS	Chr12:86227610-86228177
PHAS21-44	Chr12	86249965	86250696	732	15	1.40E-09	24	17	5.69	0.86	168.91	19.82	Potential PHAS	Chr12:86249965-86250696
PHAS21-45	Chr12	86253307	86253653	347	6	5.49E-07	12	18	2.3	0.77	83.27	22.65	Potential PHAS	Chr12:86253376-86253616
PHAS21-46	Chr12	86563800	86564146	347	6	2.03E-06	11	17	2.41	0.81	78.79	20.12	Potential PHAS	Chr12:86563857-86564077
PHAS21-47	Chr12	86566754	86567497	744	15	3.50E-10	24	18	5.74	0.89	168.56	19.82	Potential PHAS	Chr12:86566754-86567456
PHAS21-48	Chr12	124518472	124519620	1149	6	3.86E-07	19	2	1.66	0.78	153.77	13.73	Potential PHAS	Chr12:124518472-124519620
PHAS21-49	Chr12	137654391	137654720	330	11	1.23E-07	10	11	1	0.84	88.92	19.56	Potential PHAS	Chr12:137654399-137654673
PHAS21-50	Chr13	17688695	17689157	463	49	2.87E-10	17	12	7.42	0.91	93.83	21.89	Potential PHAS	Chr13:17688770-17689131
PHAS21-51	Chr13	35046406	35047966	1561	33	1.32E-08	20	1	1.08	0.85	288.45	23.96	Potential PHAS	Chr13:35046784-35047907
PHAS21-52	Chr13	52859710	52861030	1321	32	6.05E-08	28	11	2.89	0.81	461.82	22.52	Potential PHAS	Chr13:52859710-52860915
PHAS21-53	Chr13	60383553	60384555	1003	5	4.43E-06	14	6	3.45	0.73	97.17	12.56	Potential PHAS	Chr13:60383573-60384555
PHAS21-54	Chr13	86920050	86921058	1009	20	7.45E-06	15	19	12.77	0.88	55.13	10.27	Potential Repeat	Chr13:86920586-86921020
PHAS21-55	Chr14	29170643	29172326	1684	20	2.44E-07	23	8	4.4	0.95	209.56	20.2	Potential PHAS	Chr14:29170643-29171707
PHAS21-56	Chr14	40256311	40256472	162	2	3.64E-05	5	21	5.36	0.84	9.1	10.19	Potential PHAS	Chr14:40256311-40256472
PHAS21-57	Chr14	126070258	126070955	698	20	9.93E-08	12	20	1	0.75	149.36	23.54	Potential PHAS	Chr14:126070308-126070955
PHAS21-58	Chr14	127455911	127456768	858	25	1.55E-08	18	19	6.73	0.98	120.79	13.5	Potential PHAS	Chr14:127456325-127456580
PHAS21-59	Chr14	127550053	127550886	834	23	5.20E-08	11	14	9.08	0.92	28.01	18.09	Potential PHAS	Chr14:127550460-127550875
PHAS21-60	Chr14	128297680	128297976	297	9	3.89E-10	11	20	8.43	0.8	6.49	12.77	Potential PHAS	Chr14:128297690-128297897
PHAS21-61	Chr15	9715062	9715659	598	74	9.53E-14	33	10	1.63	0.91	4675.1	23.91	Confident PHAS	Chr15:9715069-9715586
PHAS21-62	Chr15	9798888	9799421	534	34	1.19E-07	15	5	2.5	0.98	1885.03	12.42	Potential PHAS	Chr15:9798908-9799344
PHAS21-63	Chr15	24557452	24557774	323	16	2.00E-10	11	13	9.07	0.9	8.78	14.78	Potential PHAS	Chr15:24557452-24557698
PHAS21-64	Chr15	40211703	40212444	742	16	6.34E-12	15	5	7.16	0.94	41.7	18.28	Confident PHAS	Chr15:40212147-40212423
PHAS21-65	Chr15	40519724	40520466	743	7	1.16E-07	12	2	7.7	0.75	12.98	10.48	Potential PHAS	Chr15:40520044-40520423
PHAS21-66	Chr15	92142528	92143129	602	33	3.63E-11	17	7	7.87	0.95	98.68	21.2	Confident PHAS	Chr15:92142543-92143025
PHAS21-67	Chr15	92524896	92525222	327	15	4.81E-06	8	16	10.85	0.94	246.25	10.32	Potential Repeat	Chr15:92524896-92525136
PHAS21-68	Chr15	93147667	93148334	668	16	1.56E-08	14	2	10.26	0.92	364.51	19.09	Potential Repeat	Chr15:93147810-93148237
PHAS21-69	Chr15	93235054	93235733	680	30	1.42E-09	15	8	11.12	0.93	361.48	21.54	Potential Repeat	Chr15:93235054-93235733
PHAS21-70	Chr15	93908508	93909137	630	2	0.000114284	10	2	10.97	0.56	37.55	13.11	Potential Repeat	Chr15:93908508-93909137
PHAS21-71	Chr15	93913729	93914496	768	38	1.55E-14	26	13	7.61	0.73	178.55	21.49	Confident PHAS	Chr15:93913872-93914372
PHAS21-72	Chr15	94043578	94044243	666	24	3.06E-10	14	12	10.69	0.91	67.54	16.83	Potential Repeat	Chr15:94043713-94044210
PHAS21-73	Chr15	94448910	94449604	695	32	6.93E-11	18	1	8	0.75	203.78	18.36	Confident PHAS	Chr15:94449054-94449604
PHAS21-74	Chr15	96595515	96595774	260	18	2.24E-08	10	11	9.12	0.97	56.33	17.59	Potential PHAS	Chr15:96595517-96595749
PHAS21-75	Chr2	1313570	1314120	551	68	0	20	21	1.62	0.98	664.95	33.56	Confident PHAS	Chr2:1313646-1314012
PHAS21-76	Chr2	39662875	39664064	1190	22	2.88E-06	19	13	1.35	0.94	259.88	16.33	Potential PHAS	Chr2:39663633-39663911
PHAS21-77	Chr2	69644020	69644253	234	2	0.000285781	5	1	2.06	1	26867.55	20.13	Potential PHAS	Chr2:69644040-69644190
PHAS21-78	Chr2	70000251	70000421	171	4	0.000168983	5	9	2.12	1	22017.78	22.49	Potential PHAS	Chr2:70000293-70000401
PHAS21-79	Chr2	134194188	134194526	339	11	0.000146338	8	8	12.42	0.62	38.87	13.3	Potential Repeat	Chr2:134194261-134194526
PHAS21-80	Chr2	134644679	134644874	196	1	9.32E-05	6	15	11.5	0.69	21.49	10.06	Potential Repeat	Chr2:134644679-134644874
PHAS21-81	Chr2	134718303	134718568	266	1	0.000559764	7	13	11.83	0.49	32.61	10.06	Potential Repeat	Chr2:134718303-134718568
PHAS21-82	Chr2	172302359	172303314	956	10	3.39E-10	18	18	7.69	0.85	54.79	11.09	Potential PHAS	Chr2:172302359-172303296
PHAS21-83	Chr2	186997110	186998448	1339	46	0	40	18	3.75	0.89	1367.26	52.75	Confident PHAS	Chr2:186997448-186998329
PHAS21-84	Chr2	187787437	187788466	1030	46	0	29	16	4.35	0.9	338.06	32.56	Confident PHAS	Chr2:187787466-187788316
PHAS21-85	Chr2	187823543	187824921	1379	51	0	35	7	3.76	0.92	450.09	33.84	Confident PHAS	Chr2:187823604-187824855
PHAS21-86	Chr2	211685040	211685575	536	20	2.00E-06	12	7	14.2	0.78	82.5	12.21	Potential Repeat	Chr2:211685146-211685491
PHAS21-87	Chr3	5333834	5334442	609	54	9.85E-13	23	12	6.16	0.87	106.44	29.78	Confident PHAS	Chr3:5333969-5334355
PHAS21-88	Chr3	6022778	6023302	525	28	2.29E-06	12	19	7.93	0.92	104.4	15.24	Potential PHAS	Chr3:6022818-6023216
PHAS21-89	Chr3	6077741	6078052	312	17	5.89E-08	10	6	8.43	0.91	79.81	13.77	Potential PHAS	Chr3:6077909-6078018
PHAS21-90	Chr3	6192335	6193045	711	55	8.37E-14	24	9	5.41	0.78	258.05	33.26	Confident PHAS	Chr3:6192481-6193017
PHAS21-91	Chr3	6464394	6464889	496	27	4.69E-06	14	8	8.8	0.92	60.94	13.42	Potential PHAS	Chr3:6464614-6464777
PHAS21-92	Chr3	6635944	6636439	496	27	4.69E-06	14	9	8.79	0.92	60.94	13.42	Potential PHAS	Chr3:6636164-6636327
PHAS21-93	Chr3	6682224	6682857	634	58	1.88E-14	26	5	5.72	0.8	230.11	32.31	Confident PHAS	Chr3:6682351-6682835
PHAS21-94	Chr3	20370786	20371132	347	16	3.07E-11	12	2	9.36	0.94	11.94	15.85	Confident PHAS	Chr3:20370817-20371115
PHAS21-95	Chr3	45690561	45691415	855	20	3.62E-10	26	19	1.88	0.98	406.74	19.01	Potential PHAS	Chr3:45691102-45691270
PHAS21-96	Chr3	45876015	45876746	732	18	1.48E-09	24	5	1.98	0.93	317.88	16.12	Potential PHAS	Chr3:45876370-45876602
PHAS21-97	Chr3	53646341	53646844	504	11	0.000112627	18	16	5.51	0.64	282.68	17.33	Potential PHAS	Chr3:53646341-53646844
PHAS21-98	Chr3	53687428	53687649	222	5	0.000112211	9	8	4.96	0.67	180.93	13.31	Potential PHAS	Chr3:53687466-53687635
PHAS21-99	Chr3	65813134	65813459	326	14	1.02E-08	12	9	9.1	0.75	9.69	11.81	Potential PHAS	Chr3:65813142-65813441
PHAS21-100	Chr3	67077308	67077602	295	2	8.36E-08	8	14	10.76	0.91	61.16	17.01	Potential Repeat	Chr3:67077308-67077602
PHAS21-101	Chr3	67389427	67389791	365	5	1.54E-07	8	17	9.82	0.89	61.66	11.96	Potential PHAS	Chr3:67389473-67389791
PHAS21-102	Chr3	67888781	67889256	476	2	6.33E-06	9	3	7.8	0.91	424.51	18.61	Potential PHAS	Chr3:67888781-67889256
PHAS21-103	Chr3	74160031	74160400	370	41	7.33E-08	16	3	9.04	0.97	445.97	13.36	Potential PHAS	Chr3:74160032-74160333
PHAS21-104	Chr3	83405632	83406426	795	4	0.000205208	21	19	6.94	0.65	68.73	13.58	Potential PHAS	Chr3:83405632-83406426
PHAS21-105	Chr3	83454898	83455299	402	2	3.73E-06	10	19	4.92	0.74	21.96	10.38	Potential PHAS	Chr3:83454898-83455299
PHAS21-106	Chr3	83532906	83533910	1005	17	1.22E-09	20	10	6.97	0.92	343	19.75	Potential PHAS	Chr3:83532925-83533841
PHAS21-107	Chr3	88952698	88953726	1029	15	1.61E-07	19	17	7.02	0.89	329.86	19.75	Potential PHAS	Chr3:88952717-88953723
PHAS21-108	Chr3	89639351	89639998	648	5	0.00016309	9	10	4.3	0.68	63.25	11.78	Potential PHAS	Chr3:89639600-89639746
PHAS21-109	Chr3	89776168	89777406	1239	10	4.80E-14	18	11	2.96	0.96	84.19	26.45	Confident PHAS	Chr3:89776961-89777322
PHAS21-110	Chr3	99922014	99922662	649	14	3.98E-07	13	20	11.71	0.84	97.86	12.46	Potential Repeat	Chr3:99922281-99922646
PHAS21-111	Chr3	108538029	108539487	1459	37	7.68E-13	27	3	7.12	0.86	164.44	23.55	Confident PHAS	Chr3:108538061-108538912
PHAS21-112	Chr3	108684294	108685348	1055	17	3.68E-08	17	13	7.61	0.96	124.18	22.77	Potential PHAS	Chr3:108684378-108685134
PHAS21-113	Chr3	108916104	108917937	1834	47	0	30	2	6.7	0.94	276.07	29.42	Confident PHAS	Chr3:108916104-108917873
PHAS21-114	Chr3	109121986	109123060	1075	39	1.23E-12	24	7	7.17	0.82	122.48	19.57	Confident PHAS	Chr3:109122077-109123018
PHAS21-115	Chr3	109261726	109263060	1335	26	5.17E-07	26	20	6.3	0.81	147.76	18.53	Potential PHAS	Chr3:109261728-109263060
PHAS21-116	Chr3	109438483	109440245	1763	38	0	26	20	7.55	0.88	172.83	30.5	Confident PHAS	Chr3:109439253-109440134
PHAS21-117	Chr3	109974605	109975669	1065	15	3.26E-08	19	7	8.03	0.96	70.87	14.7	Potential PHAS	Chr3:109974605-109975621
PHAS21-118	Chr3	110843971	110846395	2425	43	0	37	18	6.67	1	358.38	28.84	Confident PHAS	Chr3:110844084-110845155
PHAS21-119	Chr3	110955920	110958365	2446	47	0	43	16	7.07	1	313.25	26.5	Confident PHAS	Chr3:110956045-110957287
PHAS21-120	Chr3	111109248	111111595	2348	39	1.24E-12	27	9	7.74	0.83	168.32	28.84	Confident PHAS	Chr3:111109248-111110280
PHAS21-121	Chr3	111486219	111488726	2508	46	0	41	10	6.63	0.94	327.82	29.4	Confident PHAS	Chr3:111486279-111487027
PHAS21-122	Chr3	117140602	117141236	635	17	3.86E-05	14	4	8.11	0.96	604.25	18.77	Potential PHAS	Chr3:117141002-117141216
PHAS21-123	Chr3	117245860	117246501	642	26	1.02E-06	9	11	4.56	0.95	116.56	19.28	Potential PHAS	Chr3:117246154-117246455
PHAS21-124	Chr3	117445957	117446541	585	15	3.82E-07	16	12	6.1	0.69	138.38	12.08	Potential PHAS	Chr3:117445957-117446541
PHAS21-125	Chr3	117447361	117448500	1140	13	7.07E-06	34	19	6.81	0.89	16319.26	15.48	Potential PHAS	Chr3:117448289-117448500
PHAS21-126	Chr3	117454556	117455073	518	51	1.16E-07	16	14	2.99	0.89	211.94	18.46	Potential PHAS	Chr3:117454795-117455027
PHAS21-127	Chr3	117455880	117457134	1255	55	8.55E-09	20	21	1.98	0.95	327.78	18.35	Potential PHAS	Chr3:117456129-117457134
PHAS21-128	Chr3	117460418	117461973	1556	41	3.94E-07	16	15	2.83	0.8	328.73	14.04	Potential PHAS	Chr3:117461178-117461855
PHAS21-129	Chr3	117477284	117479515	2232	63	0	79	15	4.51	0.95	12426.45	39.04	Confident PHAS	Chr3:117479002-117479495
PHAS21-130	Chr3	117483032	117483296	265	6	6.25E-13	10	9	3.85	1	33.67	23.74	Confident PHAS	Chr3:117483032-117483249
PHAS21-131	Chr3	117667834	117668236	403	10	1.30E-05	8	6	9.96	0.88	15.69	10.6	Potential PHAS	Chr3:117667876-117668102
PHAS21-132	Chr3	118049911	118050920	1010	23	4.73E-07	14	3	2.53	0.78	61.36	17.88	Potential PHAS	Chr3:118050556-118050834
PHAS21-133	Chr3	118297731	118298036	306	6	0.00023116	13	8	3.51	0.8	1573.48	14.5	Potential PHAS	Chr3:118297825-118298035
PHAS21-134	Chr3	118316522	118316823	302	8	2.01E-05	9	19	9.3	0.85	43.44	10.53	Potential PHAS	Chr3:118316620-118316770
PHAS21-135	Chr3	118366679	118368566	1888	31	3.30E-10	36	9	2.05	0.82	253.57	26.06	Potential PHAS	Chr3:118367494-118368566
PHAS21-136	Chr3	133056916	133057743	828	12	2.03E-09	16	16	7.19	0.92	46.17	18.71	Potential PHAS	Chr3:133056918-133057675
PHAS21-137	Chr3	163853621	163854285	665	4	6.32E-07	12	11	11.44	0.76	12.61	11.64	Potential Repeat	Chr3:163853642-163854285
PHAS21-138	Chr3	164221285	164221885	601	1	1.11E-06	11	7	11.49	0.61	9.34	11.64	Potential Repeat	Chr3:164221285-164221885
PHAS21-139	Chr3	164383479	164383952	474	18	2.94E-09	12	8	11.95	0.82	13.78	11.48	Potential Repeat	Chr3:164383623-164383868
PHAS21-140	Chr3	168148314	168149829	1516	20	5.59E-10	17	15	11.16	0.73	31.39	24.13	Potential Repeat	Chr3:168148400-168148771
PHAS21-141	Chr3	169005463	169007722	2260	37	7.44E-15	26	5	11.54	0.95	50.19	27.6	Potential Repeat	Chr3:169005503-169006234
PHAS21-142	Chr3	169386150	169388328	2179	10	3.80E-05	28	1	12.06	0.65	75.85	13.71	Potential Repeat	Chr3:169386150-169388328
PHAS21-143	Chr3	169501320	169503579	2260	33	0	25	3	11.33	0.92	48.29	28.62	Potential Repeat	Chr3:169502739-169503579
PHAS21-144	Chr3	169968462	169970673	2212	39	0	41	7	11.42	0.86	82.53	25.94	Potential Repeat	Chr3:169968462-169969306
PHAS21-145	Chr3	170249091	170251228	2138	36	0	39	13	11.73	0.98	74.88	28.02	Potential Repeat	Chr3:170249091-170249888
PHAS21-146	Chr3	170445851	170447298	1448	23	3.90E-12	29	3	11.87	0.98	47.45	21.94	Potential Repeat	Chr3:170445870-170446041
PHAS21-147	Chr3	170912990	170915050	2061	21	1.28E-11	29	18	12.04	0.94	54.33	27.29	Potential Repeat	Chr3:170913030-170913967
PHAS21-148	Chr3	171464393	171466846	2454	34	6.11E-15	40	1	11.03	0.98	121.16	25.94	Potential Repeat	Chr3:171464536-171465340
PHAS21-149	Chr3	171530802	171533116	2315	41	0	39	12	11.47	0.98	78.4	34.13	Potential Repeat	Chr3:171531525-171533091
PHAS21-150	Chr3	171729452	171731085	1634	24	2.46E-10	27	21	10.67	0.95	86.52	22.99	Potential Repeat	Chr3:171729513-171730401
PHAS21-151	Chr3	172517331	172518840	1510	12	4.86E-07	14	2	7.84	0.68	92.11	33.14	Potential PHAS	Chr3:172517332-172518584
PHAS21-152	Chr4	26400537	26402280	1744	24	2.06E-13	24	12	1.01	0.91	319.92	21.65	Confident PHAS	Chr4:26401223-26402030
PHAS21-153	Chr4	28376796	28377008	213	1	8.73E-07	7	2	1.07	0.91	27.76	17.08	Potential PHAS	Chr4:28376796-28377008
PHAS21-154	Chr4	42471212	42471773	562	9	1.05E-07	10	20	5.93	0.84	12.09	21.41	Potential PHAS	Chr4:42471273-42471680
PHAS21-155	Chr4	42744312	42744802	491	10	3.57E-08	10	1	5.95	1	16.6	16.62	Potential PHAS	Chr4:42744385-42744792
PHAS21-156	Chr4	51197556	51198545	990	18	4.74E-05	16	3	14.54	0.77	157.61	10.78	Potential Repeat	Chr4:51197693-51198515
PHAS21-157	Chr4	92437079	92438158	1080	17	4.40E-06	15	7	13.09	0.79	72.44	10.92	Potential Repeat	Chr4:92437187-92438084
PHAS21-158	Chr4	92857849	92858718	870	2	0	22	18	2	0.48	32.06	18.71	Confident PHAS	Chr4:92857849-92858718
PHAS21-159	Chr4	92942931	92943636	706	2	9.32E-12	19	9	2	0.49	29.27	18.71	Confident PHAS	Chr4:92942931-92943636
PHAS21-160	Chr4	116334932	116335189	258	12	1.18E-05	6	7	4.24	0.85	58.25	10.8	Potential PHAS	Chr4:116334945-116335186
PHAS21-161	Chr4	164724089	164725448	1360	23	9.57E-06	32	1	3.35	0.64	541.62	11.84	Potential PHAS	Chr4:164724833-164725137
PHAS21-162	Chr5	94455948	94456258	311	8	7.80E-11	9	1	6.12	0.8	14.28	15.74	Confident PHAS	Chr5:94455968-94456192
PHAS21-163	Chr5	95608560	95608847	288	7	1.64E-06	6	5	6.05	0.89	7.28	14.93	Potential PHAS	Chr5:95608612-95608794
PHAS21-164	Chr5	95771224	95771606	383	4	6.38E-09	11	14	6.14	0.94	54.42	19.52	Potential PHAS	Chr5:95771224-95771606
PHAS21-165	Chr5	95799962	95800568	607	3	1.57E-05	9	12	6.28	0.4	9	10.61	Potential PHAS	Chr5:95799962-95800568
PHAS21-166	Chr5	132854539	132854999	461	20	9.99E-16	16	11	2.88	0.96	93.57	24.91	Confident PHAS	Chr5:132854578-132854999
PHAS21-167	Chr5	137589439	137590499	1061	9	8.72E-08	17	20	4.05	0.9	36.91	11.38	Potential PHAS	Chr5:137589454-137590499
PHAS21-168	Chr5	137955134	137956165	1032	5	1.28E-11	26	4	4.67	0.8	45.29	14.71	Confident PHAS	Chr5:137955766-137956130
PHAS21-169	Chr5	142611087	142612036	950	20	1.61E-06	15	17	7.17	0.89	79.19	24.63	Potential PHAS	Chr5:142611154-142612022
PHAS21-170	Chr5	143850127	143850428	302	6	3.95E-09	13	7	7.99	0.64	46.41	11.85	Potential PHAS	Chr5:143850130-143850428
PHAS21-171	Chr5	144474314	144475712	1399	21	0	35	9	5.6	0.8	225.82	29.92	Confident PHAS	Chr5:144474315-144475500
PHAS21-172	Chr5	144801114	144801615	502	16	4.08E-08	11	21	8.21	0.91	30.21	15.57	Potential PHAS	Chr5:144801243-144801515
PHAS21-173	Chr5	192525365	192525971	607	19	5.29E-05	20	12	1.18	0.78	18799.09	21.08	Potential PHAS	Chr5:192525543-192525807
PHAS21-174	Chr6	11265787	11266255	469	11	4.64E-08	9	7	9.36	0.88	7.78	15.64	Potential PHAS	Chr6:11265934-11266222
PHAS21-175	Chr6	28755981	28756647	667	44	5.82E-10	23	2	2.01	0.91	1779.26	26.99	Potential PHAS	Chr6:28756113-28756639
PHAS21-176	Chr6	28776080	28776962	883	49	1.04E-13	35	11	1.69	0.96	3832.78	37.77	Confident PHAS	Chr6:28776140-28776857
PHAS21-177	Chr6	45357293	45358326	1034	19	3.06E-07	12	7	14.11	0.81	92.25	14.15	Potential Repeat	Chr6:45357540-45357673
PHAS21-178	Chr6	58345821	58346399	579	25	1.48E-08	23	10	1.92	0.93	466.62	21.71	Potential PHAS	Chr6:58346076-58346323
PHAS21-179	Chr6	58391842	58392665	824	41	4.20E-13	25	19	1.63	0.93	707.78	28.36	Confident PHAS	Chr6:58392254-58392616
PHAS21-180	Chr6	85429166	85430079	914	19	2.40E-05	17	4	14.56	0.75	161.72	12.34	Potential Repeat	Chr6:85429166-85430021
PHAS21-181	Chr6	105568351	105568500	150	2	3.55E-05	5	3	3.32	0.9	37.43	10.69	Potential PHAS	Chr6:105568363-105568500
PHAS21-182	Chr6	105569281	105569612	332	29	1.73E-06	9	6	3.87	0.8	323.49	11.97	Potential PHAS	Chr6:105569300-105569509
PHAS21-183	Chr6	105579332	105580527	1196	7	0.00025265	30	20	3.51	0.9	4720.01	19.7	Potential PHAS	Chr6:105579344-105579494
PHAS21-184	Chr6	109289489	109289896	408	24	1.70E-09	13	9	3.02	0.92	120.01	19.3	Potential PHAS	Chr6:109289489-109289666
PHAS21-185	Chr6	109293849	109295167	1319	70	0	36	12	6.8	0.89	1359.19	16.84	Confident PHAS	Chr6:109293986-109294891
PHAS21-186	Chr6	109301106	109301853	748	13	2.68E-06	21	18	7.2	0.57	363.96	10.42	Potential PHAS	Chr6:109301216-109301449
PHAS21-187	Chr6	109534754	109535470	717	25	7.48E-06	13	19	7.85	0.84	177.31	13.49	Potential PHAS	Chr6:109534926-109535205
PHAS21-188	Chr6	141015046	141016071	1026	14	1.91E-08	21	1	8.97	0.87	35.95	11.08	Potential PHAS	Chr6:141015080-141015921
PHAS21-189	Chr6	141098996	141099923	928	10	4.74E-08	21	21	9.86	0.85	27.17	12.01	Potential PHAS	Chr6:141098998-141099483
PHAS21-190	Chr6	141183683	141184486	804	15	4.69E-11	18	2	9.25	0.94	26.41	14.94	Confident PHAS	Chr6:141183714-141184206
