PHASID	Chr_ID	Start_Pos	End_Pos	Locus_Len	Lib_Num	Pvalue	Phas_Hit	Phase	Average_HitPos	Phas_Ratio	Abudance	Max_Region_Phase_Score	Note	Best_Region
PHAS24-38	Chr2	127552189	127552714	526	2	0.000118471	8	7	1	0.49	67.61	12.19	Potential PHAS	Chr2:127552189-127552714
PHAS24-39	Chr2	171199522	171200601	1080	11	4.65E-06	11	21	1.87	0.63	93.82	12.66	Potential PHAS	Chr2:171199691-171199955
PHAS24-40	Chr2	171204987	171205136	150	2	1.74E-05	5	21	6.85	0.88	18.61	10.08	Potential PHAS	Chr2:171205002-171205136
PHAS24-41	Chr2	204222039	204222913	875	22	4.21E-05	8	1	2.5	0.75	178.19	10.1	Potential PHAS	Chr2:204222182-204222303
PHAS24-42	Chr3	1286894	1287300	407	3	0.000293157	12	8	4.45	0.64	167.47	11.43	Potential PHAS	Chr3:1286976-1287300
PHAS24-43	Chr3	17729126	17729435	310	2	5.71E-06	10	9	3.02	0.52	99.11	10.38	Potential PHAS	Chr3:17729126-17729435
PHAS24-44	Chr3	120972941	120973197	257	2	0.000302655	10	11	5.17	0.87	226.53	10.2	Potential PHAS	Chr3:120972941-120973116
PHAS24-45	Chr4	3899324	3899645	322	4	0.000414552	7	15	3.41	0.48	47.08	10.07	Potential PHAS	Chr4:3899324-3899645
PHAS24-46	Chr4	12314716	12315041	326	3	6.63E-05	5	14	4.8	0.59	36.61	10.06	Potential PHAS	Chr4:12314783-12314919
PHAS24-47	Chr4	13998818	13999109	292	5	0.000259914	11	5	6.4	0.51	98.54	11.09	Potential PHAS	Chr4:13998997-13999109
PHAS24-48	Chr4	19622698	19622894	197	1	0.000999307	6	14	3.56	0.76	108.93	12.37	Potential PHAS	Chr4:19622698-19622894
PHAS24-49	Chr4	75077134	75077317	184	3	7.19E-05	10	13	3.64	0.44	96.7	10.1	Potential PHAS	Chr4:75077146-75077280
PHAS24-50	Chr4	153453456	153453800	345	6	0.000112332	8	10	7.51	0.79	32.14	11.55	Potential PHAS	Chr4:153453599-153453723
PHAS24-51	Chr5	44058205	44058960	756	1	0.000905025	13	3	5.16	0.32	95.63	10.44	Potential PHAS	Chr5:44058205-44058960
PHAS24-52	Chr5	44063214	44063921	708	2	0.00039928	13	17	4.89	0.7	116.8	12.19	Potential PHAS	Chr5:44063723-44063918
PHAS24-53	Chr5	66445868	66446219	352	1	0.000876659	12	21	3.8	0.47	529.42	12.9	Potential PHAS	Chr5:66445868-66446219
PHAS24-54	Chr5	188556432	188556786	355	6	7.06E-07	7	7	3.36	0.82	31.49	14.17	Potential PHAS	Chr5:188556432-188556786
PHAS24-55	Chr5	189027120	189027498	379	5	7.50E-07	7	17	3.17	0.7	34.61	14.17	Potential PHAS	Chr5:189027146-189027477
PHAS24-56	Chr6	7337611	7337809	199	2	0.000113921	7	21	1.24	0.75	80.11	10.68	Potential PHAS	Chr6:7337611-7337807
PHAS24-57	Chr6	7343653	7343848	196	1	6.40E-05	5	16	3.23	0.43	10.26	10.84	Potential PHAS	Chr6:7343653-7343848
PHAS24-58	Chr6	43182793	43182942	150	1	0.0001494	10	4	2.6	0.42	295.44	12.57	Potential PHAS	Chr6:43182793-43182942
PHAS24-59	Chr6	55444608	55445121	514	5	6.63E-05	7	6	4.05	0.61	58.6	11.89	Potential PHAS	Chr6:55444826-55445056
PHAS24-60	Chr6	59626126	59627033	908	10	6.37E-05	8	20	1.83	0.7	128.23	13.64	Potential PHAS	Chr6:59626590-59627033
PHAS24-61	Chr7	33040660	33040870	211	4	7.02E-07	6	10	3.1	0.67	17.82	10.19	Potential PHAS	Chr7:33040660-33040870
PHAS24-62	Chr7	33044478	33044892	415	3	5.77E-07	10	24	3.4	0.67	78.19	10.19	Potential PHAS	Chr7:33044735-33044892
PHAS24-63	Chr7	183011403	183011840	438	3	6.26E-14	13	11	9.87	0.7	3.31	15.38	Confident PHAS	Chr7:183011403-183011826
PHAS24-64	Chr8	7127374	7128312	939	11	6.12E-06	11	2	7.93	0.61	60.82	12.2	Potential PHAS	Chr8:7127847-7128312
PHAS24-65	Chr8	37335240	37335648	409	3	0.000113968	12	7	7.05	0.55	502.65	16.7	Potential PHAS	Chr8:37335240-37335620
PHAS24-66	Chr8	37339922	37340249	328	1	1.96E-05	18	14	2.7	0.48	455.38	11.89	Potential PHAS	Chr8:37339922-37340249
PHAS24-67	Chr8	37344531	37344983	453	3	0.000127923	13	21	5.66	0.6	499.57	20.36	Potential PHAS	Chr8:37344601-37344983
PHAS24-68	Chr8	39331882	39332160	279	1	0.000983693	10	21	7.06	0.49	67.56	14.4	Potential PHAS	Chr8:39331882-39332160
PHAS24-69	Chr8	39332950	39334412	1463	7	0.000142332	30	11	8.29	0.58	360.36	14.72	Potential PHAS	Chr8:39333025-39334412
PHAS24-70	Chr8	39338146	39338445	300	1	0.000617676	7	7	5.8	0.32	34.06	10.53	Potential PHAS	Chr8:39338146-39338445
PHAS24-71	Chr8	39340875	39341395	521	3	1.95E-05	11	9	6.03	0.38	43.98	10.66	Potential PHAS	Chr8:39340986-39341395
PHAS24-72	Chr8	39347920	39348340	421	4	0.000517558	10	7	10.13	0.45	170.26	11.36	Potential Repeat	Chr8:39348054-39348340
PHAS24-73	Chr8	39350808	39351598	791	2	6.67E-05	22	19	11.02	0.46	541.03	14.62	Potential Repeat	Chr8:39350808-39351598
PHAS24-74	Chr8	39359820	39360496	677	7	0.000117261	20	17	11.34	0.77	329.48	15.93	Potential Repeat	Chr8:39359820-39360381
PHAS24-75	Chr8	39364857	39365128	272	1	0.000755202	7	16	6.28	0.31	35.53	14.29	Potential PHAS	Chr8:39364857-39365128
PHAS24-76	Chr8	39372435	39373147	713	7	2.83E-05	20	5	11.2	0.85	333.34	10.63	Potential Repeat	Chr8:39372870-39373029
PHAS24-77	Chr8	41507420	41507966	547	4	0.000311711	6	14	4.39	0.63	37.67	12.75	Potential PHAS	Chr8:41507543-41507946
PHAS24-78	Chr8	41508290	41508615	326	6	0.000500116	7	24	4.52	0.77	184.71	17.72	Potential PHAS	Chr8:41508290-41508603
PHAS24-79	Chr8	41508989	41509543	555	3	0.000110703	7	22	2.36	0.58	73.36	11.56	Potential PHAS	Chr8:41509234-41509543
PHAS24-80	Chr8	41854341	41854949	609	1	0.000194206	7	23	7.31	0.46	7.83	10.22	Potential PHAS	Chr8:41854341-41854949
PHAS24-81	Chr8	121472841	121473310	470	10	6.19E-05	7	18	1.37	0.67	93.51	12.55	Potential PHAS	Chr8:121472982-121473231
PHAS24-82	Chr9	1988288	1988763	476	7	5.45E-06	9	3	8.48	0.65	15.56	14.24	Potential PHAS	Chr9:1988288-1988763
PHAS24-83	Chr9	7620166	7620316	151	1	0.000100864	5	4	3.87	0.85	41.83	10.31	Potential PHAS	Chr9:7620166-7620316
PHAS24-84	Chr9	8699873	8700167	295	2	0.000218091	7	20	4.19	0.59	161.53	10.62	Potential PHAS	Chr9:8699873-8700167
PHAS24-85	Chr9	57771144	57771739	596	3	0.000345468	9	2	7.2	0.75	83.49	17.25	Potential PHAS	Chr9:57771144-57771739
PHAS24-86	Chr9	121404140	121404773	634	5	7.21E-06	12	7	7.14	0.4	152.21	10.45	Potential PHAS	Chr9:121404140-121404641
PHAS24-87	Contig1287	38158	39097	940	4	7.69E-05	12	4	6.49	0.76	69.62	11.13	Potential PHAS	Contig1287:38232-39097
PHAS24-88	Contig207	38550	38700	151	1	0.000468112	5	9	4.81	0.35	12.64	10.59	Potential PHAS	Contig207:38550-38700
PHAS24-89	Contig261	102777	103169	393	6	0.000129234	9	12	3.96	0.45	71.97	10.6	Potential PHAS	Contig261:102964-103163
PHAS24-90	Contig616	9302	10228	927	3	5.83E-05	13	5	4.98	0.33	91.96	11.52	Potential PHAS	Contig616:9302-10228
PHAS24-91	Contig757	368778	369117	340	2	4.37E-05	5	23	4.67	0.76	13.57	12.96	Potential PHAS	Contig757:368778-369020
