BioProject	SRA	experiment	Run	description	name	Type
PRJNA563742	SRP220204	SRX6797685	SRR10063880	L_4_2	L_4_2	sRNA
PRJNA563742	SRP220204	SRX6797684	SRR10063881	L_4_1	L_4_1	sRNA
PRJNA563742	SRP220204	SRX6797683	SRR10063882	L_3_3	L_3_3	sRNA
PRJNA563742	SRP220204	SRX6797682	SRR10063883	L_3_2	L_3_2	sRNA
PRJNA563742	SRP220204	SRX6797681	SRR10063884	L_3_1	L_3_1	sRNA
PRJNA563742	SRP220204	SRX6797680	SRR10063885	L_2_3	L_2_3	sRNA
PRJNA563742	SRP220204	SRX6797679	SRR10063886	L_2_2	L_2_2	sRNA
PRJNA563742	SRP220204	SRX6797678	SRR10063887	L_2_1	L_2_1	sRNA
PRJNA563742	SRP220204	SRX6797677	SRR10063888	L_1_3	L_1_3	sRNA
PRJNA563742	SRP220204	SRX6797675	SRR10063890	L_1_2	L_1_2	sRNA
PRJNA563742	SRP220204	SRX6797674	SRR10063891	L_1_1	L_1_1	sRNA
PRJNA563742	SRP220204	SRX6797673	SRR10063892	B_3	B_3	sRNA
PRJNA563742	SRP220204	SRX6797672	SRR10063893	B_2	B_2	sRNA
PRJNA563742	SRP220204	SRX6797671	SRR10063894	B_1	B_1	sRNA
PRJNA559757	SRP218057	SRX6697423	SRR9948936	inoculated with PDA plugs for 3 days	Mock	Degradome
PRJNA559757	SRP218057	SRX6697422	SRR9948937	infected with PDA plugs with actively growing mycelia of Lasiodiplodia theobromae for 3 days	Lt	Degradome
PRJNA429080	SRP128489	SRX3542190	SRR6451299	Month	Month	Degradome
PRJNA261950	SRP047456	SRX709596	SRR1585197	cold (4C)	T	Degradome
PRJNA261950	SRP047456	SRX709595	SRR1585196	room temperature (28C)	CK	Degradome
PRJNA490143 	SRP160915	SRX4665664	SRR7814095	immunity to Colletotrichum gloeosporioides	CK	Degradome
PRJNA490143 	SRP160915	SRX4665663	SRR7814096	gloeosporioides-inoculated	T	Degradome
PRJNA561272	SRP218953	SRX6746779	SRR10008504	inoculated with PDA plugs for 3 days	Mock	Degradome
PRJNA561272	SRP218953	SRX6746778	SRR10008505	infected with PDA plugs with actively growing mycelia of Didymella segeticola 3 days	Ds	Degradome
PRJNA563742	SRP220204	SRX6797688	SRR10063877	five leaf positions	leaf	Degradome
